idx,x,y
2509,10.60867552516701,9.962813124132587
2510,10.598745611934037,9.964020919797754
2511,10.588813302234996,9.965208847078955
2512,10.57887863582373,9.96637690122154
2513,10.568941652463527,9.967525077550397
2514,10.559002391926937,9.968653371469976
2515,10.549060893995637,9.969761778464306
2516,10.539117198460248,9.970850294097016
2517,10.529171345120195,9.971918914011338
2518,10.519223373783536,9.97296763393015
2519,10.509273324266802,9.973996449655974
2520,10.499321236394852,9.975005357070998
2521,10.489367150000692,9.97599435213709
2522,10.479411104925333,9.976963430895818
2523,10.469453141017635,9.977912589468469
2524,10.459493298134111,9.978841824056056
2525,10.449531616138833,9.979751130939338
2526,10.439568134903196,9.980640506478833
2527,10.429602894305821,9.981509947114837
2528,10.419635934232359,9.982359449367433
2529,10.409667294575346,9.983189009836504
2530,10.39969701523405,9.983998625201757
2531,10.389725136114288,9.98478829222272
2532,10.379751697128288,9.98555800773877
2533,10.369776738194515,9.98630776866914
2534,10.359800299237529,9.987037572012927
2535,10.349822420187795,9.987747414849107
2536,10.339843140981564,9.988437294336553
2537,10.329862501560674,9.989107207714035
2538,10.319880541872418,9.98975715230024
2539,10.309897301869364,9.990387125493783
2540,10.299912821509215,9.990997124773203
2541,10.289927140754626,9.991587147696997
2542,10.279940299573068,9.992157191903612
2543,10.269952337936651,9.992707255111453
2544,10.259963295821974,9.99323733511891
2545,10.24997321320995,9.993747429804344
2546,10.239982130085673,9.994237537126118
